node_count|pod_count|timeout_reached|mem_exceeded|run_time|total_cpu_seconds|user_cpu_seconds|system_cpu_seconds|memory_peak_gb|unscheduled_pods
100|1067|0|0|1|0|0|0|0.00|0
100|1067|0|0|1|0|0|0|0.00|0
100|1067|0|0|1|0|0|0|0.00|0
200|2099|0|0|2|3|2|0|0.05|0
200|2099|0|0|2|3|2|0|0.05|0
200|2099|0|0|2|3|2|0|0.05|0
300|2972|0|0|4|15|14|1|0.08|0
300|2972|0|0|4|15|14|1|0.08|0
300|2972|0|0|4|15|14|1|0.08|0
400|3940|0|0|5|22|20|2|0.09|0
400|3940|0|0|5|22|20|2|0.08|0
400|3940|0|0|5|22|20|2|0.08|0
500|4774|0|0|7|35|32|3|0.09|0
500|4774|0|0|7|35|32|3|0.10|0
500|4774|0|0|7|35|32|3|0.10|0
600|5537|0|0|9|48|44|4|0.11|0
600|5537|0|0|9|48|44|4|0.11|0
600|5537|0|0|9|48|44|4|0.11|0
700|6453|0|0|11|62|57|5|0.12|0
700|6453|0|0|13|67|62|6|0.13|0
700|6453|0|0|11|61|56|5|0.12|0
800|7064|0|0|14|82|76|7|0.13|0
800|7064|0|0|14|83|76|7|0.13|0
800|7064|0|0|14|83|76|7|0.14|0
900|7064|0|0|15|89|82|7|0.13|0
900|7064|0|0|16|90|82|7|0.13|0
900|7064|0|0|15|90|82|7|0.13|0
1000|7064|0|0|16|96|88|8|0.14|0
1000|7064|0|0|16|95|88|8|0.14|0
1000|7064|0|0|16|95|87|8|0.14|0
1100|7064|0|0|18|110|101|9|0.15|0
1100|7064|0|0|19|110|101|9|0.14|0
1100|7064|0|0|18|111|102|9|0.14|0
1200|7064|0|0|19|117|107|9|0.15|0
1200|7064|0|0|19|117|107|10|0.15|0
1200|7064|0|0|19|117|108|10|0.16|0
