node_count|pod_count|timeout_reached|mem_exceeded|run_time|total_cpu_seconds|user_cpu_seconds|system_cpu_seconds|memory_peak_gb|unscheduled_pods
100|1067|0|0|54|53|46|7|0.84|22
100|1067|0|0|52|52|47|7|0.86|22
100|1067|0|0|54|53|46|7|0.85|18
200|2099|0|0|99|164|146|17|1.56|23
200|2099|0|0|97|162|145|17|1.56|21
200|2099|0|0|100|162|146|17|1.63|22
300|2972|0|0|139|379|344|35|2.51|27
300|2972|0|0|140|373|338|34|2.49|26
300|2972|0|0|138|382|347|34|2.44|27
400|3940|0|0|188|673|613|59|4.00|47
400|3940|0|0|192|676|615|60|3.92|61
400|3940|0|0|192|670|611|59|4.08|52
500|4774|0|0|228|882|815|68|4.14|54
500|4774|0|0|227|889|820|69|4.41|53
500|4774|0|0|229|891|822|69|4.31|54
600|5537|0|0|261|856|803|54|4.23|69
600|5537|0|0|260|849|796|53|4.19|69
600|5537|0|0|257|854|799|54|4.20|70
700|6453|0|0|301|1057|994|63|4.95|89
700|6453|0|0|304|1068|1004|65|5.05|85
700|6453|0|0|304|1066|1001|64|5.29|87
800|7064|0|0|325|1179|1108|70|6.33|32
800|7064|0|0|324|1169|1099|70|5.90|32
800|7064|0|0|323|1180|1109|71|6.33|33
900|7064|0|0|327|1198|1126|72|6.80|17
900|7064|0|0|328|1198|1127|71|6.23|17
900|7064|0|0|326|1198|1125|72|6.42|17
1000|7064|0|0|330|1236|1163|74|7.60|17
1000|7064|0|0|331|1221|1146|74|7.67|16
1000|7064|0|0|332|1230|1156|74|7.55|16
1100|7064|0|0|337|1271|1195|76|7.54|15
1100|7064|0|0|335|1272|1197|76|7.78|15
1100|7064|0|0|334|1256|1182|74|7.51|15
1200|7064|0|0|340|1299|1221|78|8.22|14
1200|7064|0|0|338|1294|1216|78|7.84|14
1200|7064|0|0|340|1309|1231|78|8.63|15
