node_count|pod_count|timeout_reached|mem_exceeded|run_time|total_cpu_seconds|user_cpu_seconds|system_cpu_seconds|memory_peak_gb|unscheduled_pods
100|1067|0|0|53|41|35|7|0.54|22
100|1067|0|0|55|41|34|7|0.50|22
100|1067|0|0|55|41|33|6|0.52|19
200|2099|0|0|98|72|61|11|0.70|22
200|2099|0|0|96|72|60|11|0.69|21
200|2099|0|0|99|74|64|11|0.72|23
300|2972|0|0|137|103|87|15|0.84|27
300|2972|0|0|137|103|86|15|0.83|28
300|2972|0|0|136|104|88|15|0.85|27
400|3940|0|0|180|140|119|21|0.98|50
400|3940|0|0|181|139|118|21|0.99|49
400|3940|0|0|182|141|120|21|0.96|45
500|4774|0|0|215|172|147|24|1.06|51
500|4774|0|0|216|172|145|24|1.08|53
500|4774|0|0|217|172|146|24|1.06|53
600|5537|0|0|252|207|177|30|1.18|69
600|5537|0|0|253|209|178|31|1.19|70
600|5537|0|0|251|207|178|30|1.18|68
700|6453|0|0|294|249|214|35|1.31|83
700|6453|0|0|295|250|215|34|1.32|87
700|6453|0|0|294|250|215|35|1.30|87
800|7064|0|0|315|265|226|37|1.36|31
800|7064|0|0|315|264|225|37|1.37|33
800|7064|0|0|313|265|226|37|1.37|33
900|7064|0|0|318|271|232|39|1.42|17
900|7064|0|0|317|269|231|40|1.39|16
900|7064|0|0|314|270|232|38|1.44|17
1000|7064|0|0|320|280|240|40|1.42|16
1000|7064|0|0|320|280|241|40|1.43|16
1000|7064|0|0|321|279|240|40|1.44|16
1100|7064|0|0|324|291|251|41|1.46|15
1100|7064|0|0|325|293|251|43|1.45|15
1100|7064|0|0|322|292|250|42|1.48|15
1200|7064|0|0|330|304|261|43|1.51|15
1200|7064|0|0|326|301|259|41|1.46|13
1200|7064|0|0|330|303|261|43|1.48|12
