node_count|pod_count|timeout_reached|mem_exceeded|run_time|total_cpu_seconds|user_cpu_seconds|system_cpu_seconds|memory_peak_gb|unscheduled_pods
100|1067|0|0|265|486|401|85|8.26|0
100|1067|0|0|283|503|416|87|8.20|0
100|1067|0|0|271|488|404|84|8.17|0
200|2099|0|0|261|618|516|102|9.04|0
200|2099|0|0|117|216|176|40|6.94|0
200|2099|0|0|299|676|566|108|8.98|0
300|2972|0|0|385|1017|870|147|9.78|0
300|2972|0|0|405|1084|922|163|9.68|0
300|2972|0|0|419|1026|869|157|9.28|0
400|3940|0|0|344|1069|911|158|10.54|0
400|3940|0|0|478|1392|1192|200|10.87|0
400|3940|0|0|419|1300|1114|185|10.35|0
500|4774|0|0|365|1293|1111|182|10.77|0
500|4774|0|0|590|1678|1443|235|11.22|0
500|4774|0|0|384|1408|1217|191|10.30|0
600|5537|0|0|522|1859|1610|248|11.84|0
600|5537|0|0|435|1534|1317|216|12.17|0
600|5537|0|0|538|1758|1513|245|11.52|0
700|6453|0|0|422|1601|1383|217|12.09|0
700|6453|0|0|549|1932|1674|257|12.29|0
700|6453|0|0|470|1929|1688|240|11.80|0
800|7064|0|0|690|2784|2464|320|11.93|0
800|7064|0|0|663|2527|2223|304|12.06|0
800|7064|0|0|637|2541|2236|306|11.79|0
900|7064|0|0|668|2708|2390|318|12.49|0
900|7064|0|0|768|2879|2551|328|12.33|0
900|7064|0|0|489|2139|1875|265|12.26|0
1000|7064|0|0|797|3215|2866|350|12.89|0
1000|7064|0|0|761|3175|2829|346|12.38|0
1000|7064|0|0|601|2619|2307|312|12.40|0
1100|7064|0|0|626|2579|2267|312|12.69|0
1100|7064|0|0|456|2137|1872|265|12.21|0
1100|7064|0|0|726|3086|2743|343|13.09|0
1200|7064|0|0|637|2511|2194|318|12.43|0
1200|7064|0|0|541|2357|2077|281|13.13|0
1200|7064|0|0|473|2277|2003|274|12.85|0
