algo|wall_s|scheduled|unscheduled|mem_peak_bytes
GANG_LRP|8|1067|0|18571264
GANG_MRP|8|1067|0|9125888
GANG_BRA|5|788|0|8093696
DRF_LRP|8|1067|0|8359936
DRF_MRP|7|1067|0|8613888
DRF_BRA|6|1067|0|9109504
SLA_LRP|5|1067|0|9146368
SLA_MRP|5|1067|0|9383936
SLA_BRA|5|1067|0|8884224
BINPACK_LRP|4|1067|0|9670656
BINPACK_MRP|5|1067|0|9117696
BINPACK_BRA|5|1067|0|9146368
GANG_BINPACK|7|1067|0|9121792
DRF_BINPACK|4|672|0|8617984
SLA_BINPACK|5|1067|0|8617984
GANG_DRF_LRP|10|1067|0|72470528
GANG_DRF_MRP|9|1067|0|8613888
GANG_DRF_BRA|10|1067|0|8327168
GANG_DRF_BINPACK|8|1067|0|9134080
Default|7|1067|0|8876032
